,Momentum Portfolio,Benchmark
Total Return,4.589469441094184,1.7190591922569722
CAGR,0.2110126423984613,0.11771537859200576
Volatility,0.3006324841001706,0.18091552750140333
Sharpe Ratio,0.7888094166937567,0.7063930668592785
Max Drawdown,-0.5459266322806023,-0.33717269756338464
Calmar Ratio,0.3865219791841962,0.349124883013034
