Date,gross_return,transaction_cost,portfolio_return,turnover,equity_curve,benchmark_return,benchmark_equity
2015-01-02,0.0,0.0,0.0,0,1.0,0.0,1.0
2015-01-05,0.0,0.0,0.0,0.0,1.0,-0.018059408682848943,0.9819405913171511
2015-01-06,0.0,0.0,0.0,0.0,1.0,-0.00941919515073264,0.972691501261109
2015-01-07,0.0,0.0,0.0,0.0,1.0,0.012461039081989478,0.9848122480730427
2015-01-08,0.0,0.0,0.0,0.0,1.0,0.017745023214978506,1.002287764277494
2015-01-09,0.0,0.0,0.0,0.0,1.0,-0.008013283435437835,0.9942561483384672
2015-01-12,0.0,0.0,0.0,0.0,1.0,-0.007833907202826618,0.9864672379365438
2015-01-13,0.0,0.0,0.0,0.0,1.0,-0.002812400894963929,0.9836928965937185
2015-01-14,0.0,0.0,0.0,0.0,1.0,-0.006037474356051953,0.9777538759563035
2015-01-15,0.0,0.0,0.0,0.0,1.0,-0.009160480545227556,0.9687971805975849
2015-01-16,0.0,0.0,0.0,0.0,1.0,0.01311401284812197,0.981501999271166
2015-01-20,0.0,0.0,0.0,0.0,1.0,0.002132856099927416,0.9835954017974025
2015-01-21,0.0,0.0,0.0,0.0,1.0,0.005047867520583171,0.9885604610795306
2015-01-22,0.0,0.0,0.0,0.0,1.0,0.01487075124957249,1.003261097791407
2015-01-23,0.0,0.0,0.0,0.0,1.0,-0.005482102461076943,0.9977611176581019
2015-01-26,0.0,0.0,0.0,0.0,1.0,0.0023410803920156376,1.000096956646567
2015-01-27,0.0,0.0,0.0,0.0,1.0,-0.013190296235272014,0.9869053815244048
2015-01-28,0.0,0.0,0.0,0.0,1.0,-0.012824223822689107,0.9742490860199194
2015-01-29,0.0,0.0,0.0,0.0,1.0,0.009243424541308665,0.9832544839309835
2015-01-30,0.0,0.0,0.0,0.0,1.0,-0.012574922837732427,0.970890134665697
2015-02-02,0.0,0.0,0.0,0.0,1.0,0.012384202954005996,0.9829138351394392
2015-02-03,0.0,0.0,0.0,0.0,1.0,0.014461053906015708,0.9971278050943593
2015-02-04,0.0,0.0,0.0,0.0,1.0,-0.0038074926533354647,0.993331248302026
2015-02-05,0.0,0.0,0.0,0.0,1.0,0.010094843674844478,1.0033587719709731
2015-02-06,-0.0,0.0,-0.0,0.0,1.0,-0.002765501113324964,1.000583982170023
2015-02-09,0.0,0.0,0.0,0.0,1.0,-0.004475599471630232,0.9961057690281012
2015-02-10,0.0,0.0,0.0,0.0,1.0,0.010653351215728302,1.0067176336335708
2015-02-11,0.0,0.0,0.0,0.0,1.0,0.000579996275907213,1.0073015261119684
2015-02-12,0.0,0.0,0.0,0.0,1.0,0.009616925718030522,1.016988670064246
2015-02-13,0.0,0.0,0.0,0.0,1.0,0.004116335831409579,1.0211749369669691
2015-02-17,0.0,0.0,0.0,0.0,1.0,0.001573330895122682,1.0227815830446243
2015-02-18,0.0,0.0,0.0,0.0,1.0,9.514779565789055e-05,1.0228788984576904
2015-02-19,0.0,0.0,0.0,0.0,1.0,-0.0007138474747941936,1.0221487189390062
2015-02-20,0.0,0.0,0.0,0.0,1.0,0.006000567203825469,1.0282821910193038
2015-02-23,0.0,0.0,0.0,0.0,1.0,-0.00014200184218604583,1.028136173053892
2015-02-24,0.0,0.0,0.0,0.0,1.0,0.0028404401914610133,1.0310565323621292
2015-02-25,0.0,0.0,0.0,0.0,1.0,-0.0008496314928913007,1.030180514261283
2015-02-26,0.0,0.0,0.0,0.0,1.0,-0.001181371266532949,1.0289634886023926
2015-02-27,0.0,0.0,0.0,0.0,1.0,-0.00340596201124177,1.0254588780492582
2015-03-02,0.0,0.0,0.0,0.0,1.0,0.006313389069445563,1.0319329989211004
2015-03-03,-0.0,0.0,-0.0,0.0,1.0,-0.00410400592976623,1.0276979397744066
2015-03-04,0.0,0.0,0.0,0.0,1.0,-0.004215523550709754,1.0233656549062717
2015-03-05,0.0,0.0,0.0,0.0,1.0,0.0010942324789584568,1.0244854548437208
2015-03-06,-0.0,0.0,-0.0,0.0,1.0,-0.014064494315466303,1.0100765849877933
2015-03-09,0.0,0.0,0.0,0.0,1.0,0.0041443268576746295,1.0142626725072665
2015-03-10,0.0,0.0,0.0,0.0,1.0,-0.016221932642232262,0.9978093717523232
